Different Combinations: 15
R1	31600.00
R2	63400.00
R3	127000.00
R4	255000.00
R5	383000.00

R1	R2	R3	R4	R5	Vout/Vin(%)		Resistance(Ohms)
1	1	1	1	1	3.13357 		16174.68904 
1	1	1	1	0	3.26723 		16887.89110 
1	1	1	0	0	3.49086 		18085.64987 
1	1	0	0	0	4.04707 		21088.84211 
1	0	0	0	0	5.94432 		31600.00000 
0	1	1	1	1	6.21515 		33135.16177 
0	1	1	1	0	6.76397 		36273.34207 
0	1	1	0	0	7.79822 		42288.86555 
0	1	0	0	0	11.25311		63400.00000 
0	0	1	1	1	12.19025		69412.86914 
0	0	1	1	0	14.49739		84777.48691 
0	0	1	0	0	20.25518		127000.00000
0	0	0	1	1	23.43969		153079.93730
0	0	0	1	0	33.77483		255000.00000
0	0	0	0	1	43.37486		383000.00000
